step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
1,17,1,1.1359230097409088,0.0,0.0,0.9847034876108591,0.0,0.0,,,,,,
2,34,2,0.9669615977057038,0.0,0.0,,,,,,,,,
3,51,3,0.7802415225659933,0.0,0.0,,,,,,,,,
4,76,4,0.2941153071939577,0.0,0.0,,,,,,,,,
5,93,5,0.15707726013672074,1.0,1.0,,,,,,,,,
6,118,6,0.044682349772289555,1.0,1.0,,,,,,,,,
7,143,7,0.03938257151322129,1.0,1.0,,,,,,,,,
8,160,8,0.042105633970350026,1.0,1.0,,,,,,,,,
9,177,9,0.046938561287825004,1.0,1.0,0.03197075645759469,1.0,1.0,,,,,,
10,194,10,0.04602791937679286,1.0,1.0,,,,,,,,,
11,211,11,0.04130371753533836,1.0,1.0,,,,,,,,,
12,236,12,0.032238508007673465,1.0,1.0,,,,,,,,,
13,261,13,0.4031963609407345,0.0,0.0,,,,,,,,,
14,278,14,0.40602618563221765,0.0,0.0,,,,,,,,,
15,295,15,0.05116844021948054,1.0,1.0,,,,,,,,,
16,312,16,0.08809284145478159,1.0,1.0,,,,,,,,,
17,329,17,0.051850964389741426,1.0,1.0,0.030866562109440568,1.0,1.0,,,,,,
18,354,18,0.19866329363857707,0.0,0.0,,,,,,,,,
19,371,19,0.22003821779042484,0.0,0.0,,,,,,,,,
20,396,20,0.038168872743844985,1.0,1.0,,,,,,,,,
21,413,21,0.04709793889895082,1.0,1.0,,,,,,,,,
22,430,22,0.05201207965612411,1.0,1.0,,,,,,,,,
23,455,23,0.02746837759080032,1.0,1.0,,,,,,,,,
24,480,24,0.12657257946829,0.0,0.0,,,,,,,,,
25,497,25,0.03811769652413204,1.0,1.0,0.07772730074764694,0.0,0.0,,,,,,
26,522,26,0.034094509561158094,1.0,1.0,,,,,,,,,
27,547,27,0.031909244070217634,1.0,1.0,,,,,,,,,
28,564,28,0.10098880537960213,0.0,0.0,,,,,,,,,
29,589,29,0.04189967244902315,1.0,1.0,,,,,,,,,
30,614,30,0.03519496870654014,1.0,1.0,,,,,,,,,
31,631,31,0.13091923412284814,0.0,0.0,,,,,,,,,
32,648,32,0.1261342894315021,0.0,0.0,,,,,,,,,
33,665,33,0.03703081172861858,1.0,1.0,0.03764521074393997,1.0,1.0,,,,,,
34,682,34,0.034860944653337354,1.0,1.0,,,,,,,,,
35,699,35,0.04388222624751507,1.0,1.0,,,,,,,,,
36,724,36,0.10532153010145218,0.0,0.0,,,,,,,,,
37,741,37,0.09575492668765948,0.0,0.0,,,,,,,,,
38,766,38,0.03573353194505519,1.0,1.0,,,,,,,,,
39,783,39,0.03799337085773004,1.0,1.0,,,,,,,,,
40,808,40,0.02275893856761589,1.0,1.0,,,,,,,,,
41,833,41,0.017834008283680307,1.0,1.0,0.023299264470988422,1.0,1.0,,,,,,
42,850,42,0.020581306611711626,1.0,1.0,,,,,,,,,
43,875,43,0.11311993248586079,0.0,0.0,,,,,,,,,
44,892,44,0.026812370879633816,1.0,1.0,,,,,,,,,
45,917,45,0.09536411847288642,0.0,0.0,,,,,,,,,
46,934,46,0.040336403434630484,1.0,1.0,,,,,,,,,
47,951,47,0.05817413483629935,1.0,1.0,,,,,,,,,
48,968,48,0.033407028078654546,1.0,1.0,,,,,,,,,
49,993,49,0.023939854358322916,1.0,1.0,0.015371594917378387,1.0,1.0,,,,,,
50,1010,50,0.039009687685174876,1.0,1.0,,,,,,,,,
51,1035,51,0.017185649916452043,1.0,1.0,,,,,,,,,
52,1052,52,0.06518328242862481,0.0,0.0,,,,,,,,,
53,1077,53,0.013089576005101359,1.0,1.0,,,,,,,,,
54,1102,54,0.038830794075426334,1.0,1.0,,,,,,,,,
55,1127,55,0.02143810345810683,1.0,1.0,,,,,,,,,
56,1144,56,0.015434156820410862,1.0,1.0,,,,,,,,,
57,1161,57,0.015236901776879676,1.0,1.0,0.009877133168047293,1.0,1.0,,,,,,
58,1186,58,0.01778764250688255,1.0,1.0,,,,,,,,,
59,1203,59,0.016214344487234484,1.0,1.0,,,,,,,,,
60,1228,60,0.006893831347891439,1.0,1.0,,,,,,,,,
61,1245,61,0.014729063328195478,1.0,1.0,,,,,,,,,
62,1270,62,0.010826194332330489,1.0,1.0,,,,,,,,,
63,1287,63,0.018391052887018304,1.0,1.0,,,,,,,,,
64,1304,64,0.017317728409252595,1.0,1.0,,,,,,,,,
65,1329,65,0.016130694092522997,1.0,1.0,0.013814276297343895,1.0,1.0,,,,,,
66,1354,66,0.01601849134545773,1.0,1.0,,,,,,,,,
67,1379,67,0.011161749578944483,1.0,1.0,,,,,,,,,
68,1404,68,0.006999634993844666,1.0,1.0,,,,,,,,,
69,1421,69,0.00962207385513466,1.0,1.0,,,,,,,,,
70,1438,70,0.00941579924838152,1.0,1.0,,,,,,,,,
71,1463,71,0.014962235376394045,1.0,1.0,,,,,,,,,
72,1480,72,0.00868389582603413,1.0,1.0,,,,,,,,,
73,1497,73,0.008906887469056528,1.0,1.0,0.006871479794523717,1.0,1.0,,,,,,
74,1514,74,0.016267497401404398,1.0,1.0,,,,,,,,,
75,1531,75,0.02766735674726078,1.0,1.0,,,,,,,,,
76,1548,76,0.007421734872878005,1.0,1.0,,,,,,,,,
77,1565,77,0.012825840659916139,1.0,1.0,,,,,,,,,
78,1582,78,0.007283197126962477,1.0,1.0,,,,,,,,,
79,1607,79,0.012710718247593223,1.0,1.0,,,,,,,,,
80,1624,80,0.02222221432457445,1.0,1.0,,,,,,,,,
81,1641,81,0.010742612407630078,1.0,1.0,0.04337390371161745,1.0,1.0,,,,,,
82,1658,82,0.03759982165676774,1.0,1.0,,,,,,,,,
83,1675,83,0.004683027593782753,1.0,1.0,,,,,,,,,
84,1700,84,0.004724862942724333,1.0,1.0,,,,,,,,,
85,1725,85,0.00383979259087937,1.0,1.0,,,,,,,,,
86,1742,86,0.009115897968949866,1.0,1.0,,,,,,,,,
87,1767,87,0.009962102191445107,1.0,1.0,,,,,,,,,
88,1792,88,0.004602029311063234,1.0,1.0,,,,,,,,,
89,1809,89,0.01900157462441712,1.0,1.0,0.004737064096310253,1.0,1.0,,,,,,
90,1826,90,0.01160432578668406,1.0,1.0,,,,,,,,,
91,1851,91,0.014907927874010055,1.0,1.0,,,,,,,,,
92,1868,92,0.005432483327022055,1.0,1.0,,,,,,,,,
93,1893,93,0.010102955874899636,1.0,1.0,,,,,,,,,
94,1910,94,0.014419112942705398,1.0,1.0,,,,,,,,,
95,1935,95,0.011614148314790022,1.0,1.0,,,,,,,,,
96,1960,96,0.010133275609502258,1.0,1.0,,,,,,,,,
97,1985,97,0.007238489715964533,1.0,1.0,0.004536256910456966,1.0,1.0,,,,,,
98,2010,98,0.007943457685372171,1.0,1.0,,,,,,,,,
99,2027,99,0.009241732981899986,1.0,1.0,,,,,,,,,
100,2052,100,0.00398584796685706,1.0,1.0,,,,,,,,,
101,2077,101,0.005266738309971212,1.0,1.0,,,,,,,,,
102,2102,102,0.006965462423637898,1.0,1.0,,,,,,,,,
103,2127,103,0.00503790258784041,1.0,1.0,,,,,,,,,
104,2152,104,0.0049069563929515425,1.0,1.0,,,,,,,,,
105,2177,105,0.005149978278689862,1.0,1.0,0.012573110807752528,1.0,1.0,,,,,,
106,2194,106,0.005132361916221271,1.0,1.0,,,,,,,,,
107,2211,107,0.006459981992575195,1.0,1.0,,,,,,,,,
108,2228,108,0.008797398946080648,1.0,1.0,,,,,,,,,
109,2245,109,0.01137125300534535,1.0,1.0,,,,,,,,,
110,2270,110,0.0038829791502697237,1.0,1.0,,,,,,,,,
111,2287,111,0.010879303868605347,1.0,1.0,,,,,,,,,
112,2312,112,0.00368065937635644,1.0,1.0,,,,,,,,,
113,2329,113,0.007766553051915252,1.0,1.0,0.007375610144469344,1.0,1.0,,,,,,
114,2346,114,0.01379412000747834,1.0,1.0,,,,,,,,,
115,2371,115,0.006708037041995946,1.0,1.0,,,,,,,,,
116,2396,116,0.005730629300063204,1.0,1.0,,,,,,,,,
117,2421,117,0.007934636197860527,1.0,1.0,,,,,,,,,
118,2438,118,0.009064937611765345,1.0,1.0,,,,,,,,,
119,2455,119,0.015124550642321993,1.0,1.0,,,,,,,,,
120,2472,120,0.009761251593336056,1.0,1.0,,,,,,,,,
121,2489,121,0.007069546016173263,1.0,1.0,0.0051217961528527665,1.0,1.0,,,,,,
122,2506,122,0.016116988575558936,1.0,1.0,,,,,,,,,
123,2523,123,0.016335379314405145,1.0,1.0,,,,,,,,,
124,2548,124,0.006492773793191494,1.0,1.0,,,,,,,,,
125,2573,125,0.00704440431400144,1.0,1.0,,,,,,,,,
126,2598,126,0.004716797462727602,1.0,1.0,,,,,,,,,
127,2615,127,0.004050019645583234,1.0,1.0,,,,,,,,,
128,2640,128,0.0040213845566177036,1.0,1.0,,,,,,,,,
129,2657,129,0.007526708666136983,1.0,1.0,0.006238037164421258,1.0,1.0,,,,,,
130,2682,130,0.006263843198078879,1.0,1.0,,,,,,,,,
131,2707,131,0.0064492548147124275,1.0,1.0,,,,,,,,,
132,2732,132,0.005891618262558041,1.0,1.0,,,,,,,,,
133,2757,133,0.01114728884046902,1.0,1.0,,,,,,,,,
134,2774,134,0.005813739191116838,1.0,1.0,,,,,,,,,
135,2791,135,0.015310228557459596,1.0,1.0,,,,,,,,,
136,2816,136,0.008420882075021533,1.0,1.0,,,,,,,,,
137,2841,137,0.003271573299807642,1.0,1.0,0.0034955077578342755,1.0,1.0,,,,,,
138,2866,138,0.0053297455348486735,1.0,1.0,,,,,,,,,
139,2883,139,0.009907631023879732,1.0,1.0,,,,,,,,,
140,2908,140,0.0030127969376189867,1.0,1.0,,,,,,,,,
141,2933,141,0.003134442138204273,1.0,1.0,,,,,,,,,
142,2950,142,0.008096497202868706,1.0,1.0,,,,,,,,,
143,2967,143,0.008642693422389129,1.0,1.0,,,,,,,,,
144,2984,144,0.009114405819054809,1.0,1.0,,,,,,,,,
145,3001,145,0.008052331967428474,1.0,1.0,0.007545213348021208,1.0,1.0,,,,,,
146,3018,146,0.01201051897225625,1.0,1.0,,,,,,,,,
147,3035,147,0.008634479541269686,1.0,1.0,,,,,,,,,
148,3052,148,0.014116421673734295,1.0,1.0,,,,,,,,,
149,3069,149,0.008313680210412714,1.0,1.0,,,,,,,,,
150,3086,150,0.008724142675655458,1.0,1.0,,,,,,,,,
151,3103,151,0.004935189990810614,1.0,1.0,,,,,,,,,
152,3128,152,0.009465719427607839,1.0,1.0,,,,,,,,,
153,3153,153,0.005203312419380381,1.0,1.0,0.005118569126643706,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
154,3170,154,0.003598299090062938,1.0,1.0,,,,,,,,,
155,3195,155,0.005122872991390371,1.0,1.0,,,,,,,,,
156,3212,156,0.004857526401756331,1.0,1.0,,,,,,,,,
157,3229,157,0.005473092630436441,1.0,1.0,,,,,,,,,
158,3254,158,0.005816536085064096,1.0,1.0,,,,,,,,,
159,3279,159,0.0031043645503208003,1.0,1.0,,,,,,,,,
160,3296,160,0.009820311169114575,1.0,1.0,,,,,,,,,
161,3321,161,0.005036011483171023,1.0,1.0,0.01381824693220551,1.0,1.0,,,,,,
162,3346,162,0.004215109140547307,1.0,1.0,,,,,,,,,
163,3363,163,0.004742223596585972,1.0,1.0,,,,,,,,,
164,3380,164,0.007222399377697001,1.0,1.0,,,,,,,,,
165,3397,165,0.005965931146693038,1.0,1.0,,,,,,,,,
166,3414,166,0.010729610234784557,1.0,1.0,,,,,,,,,
167,3439,167,0.002646532366391815,1.0,1.0,,,,,,,,,
168,3456,168,0.005005740477918153,1.0,1.0,,,,,,,,,
169,3473,169,0.011241589521687275,1.0,1.0,0.008459907090764317,1.0,1.0,,,,,,
170,3498,170,0.006459076954821891,1.0,1.0,,,,,,,,,
171,3515,171,0.0059060686047814675,1.0,1.0,,,,,,,,,
172,3532,172,0.008657307102830601,1.0,1.0,,,,,,,,,
173,3549,173,0.00851729006481037,1.0,1.0,,,,,,,,,
174,3566,174,0.0046013249539237225,1.0,1.0,,,,,,,,,
175,3591,175,0.005857419271912173,1.0,1.0,,,,,,,,,
176,3608,176,0.004314618335829437,1.0,1.0,,,,,,,,,
177,3633,177,0.007816274293533449,1.0,1.0,0.006367728112757807,1.0,1.0,,,,,,
178,3650,178,0.007601400893699975,1.0,1.0,,,,,,,,,
179,3667,179,0.009198159506231604,1.0,1.0,,,,,,,,,
180,3684,180,0.006735164842611993,1.0,1.0,,,,,,,,,
181,3701,181,0.0076496145420969705,1.0,1.0,,,,,,,,,
182,3718,182,0.006638674242130946,1.0,1.0,,,,,,,,,
183,3735,183,0.005518031717801932,1.0,1.0,,,,,,,,,
184,3760,184,0.005817562506720908,1.0,1.0,,,,,,,,,
185,3777,185,0.007338401069382598,1.0,1.0,0.01304267157744107,1.0,1.0,,,,,,
186,3794,186,0.00694911821239657,1.0,1.0,,,,,,,,,
