step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
1,34,2,1.3066455575391955,0.0,0.0,1.1219137450113523,0.0,0.0,,
2,84,4,0.6872617886971542,0.0,0.0,,,,,
3,134,6,0.5583046720178876,0.0,0.0,,,,,
4,184,8,0.352570085956601,0.0,0.0,,,,,
5,218,10,0.37362703004029757,0.0,0.0,,,,,
6,268,12,0.14458867963190034,0.5,0.5,,,,,
7,318,14,0.13496970342006534,0.5,0.5,,,,,
8,352,16,0.22416883749305272,0.0,0.0,,,,,
9,402,18,0.22037484912512198,0.0,0.0,0.23531061269808562,0.0,0.0,,
10,452,20,0.1082751259910098,0.5,0.5,,,,,
11,502,22,0.12127573157583053,0.0,0.0,,,,,
12,552,24,0.1566767110923926,0.0,0.0,,,,,
13,602,26,0.23595175660215317,0.0,0.0,,,,,
14,652,28,0.14093992456793789,0.0,0.0,,,,,
15,702,30,0.14389872238660853,0.0,0.0,,,,,
16,752,32,0.13521601026256877,0.0,0.0,,,,,
17,802,34,0.11633473514268795,0.5,0.5,0.10968127168714999,0.5,0.5,,
18,852,36,0.14662428562839827,0.5,0.5,,,,,
19,902,38,0.16450611855834726,0.0,0.0,,,,,
20,952,40,0.14867069015900294,0.0,0.0,,,,,
21,1002,42,0.1275856409966946,0.0,0.0,,,,,
22,1052,44,0.12005635991692543,0.5,0.5,,,,,
23,1102,46,0.13964445787171523,0.0,0.0,,,,,
24,1152,48,0.12304820012301208,0.0,0.0,,,,,
25,1202,50,0.12157023154199126,0.0,0.0,0.1340481454071899,0.0,0.0,,
26,1252,52,0.14778814979208013,0.0,0.0,,,,,
27,1286,54,0.1601121183577925,0.5,0.5,,,,,
28,1336,56,0.13797276057613392,0.0,0.0,,,,,
29,1370,58,0.14663105498766527,0.5,0.5,,,,,
30,1420,60,0.13908989686984571,0.0,0.0,,,,,
31,1470,62,0.12446739362319931,0.0,0.0,,,,,
32,1520,64,0.13316793125355617,0.0,0.0,,,,,
33,1554,66,0.1507998908351874,1.0,1.0,0.12647132566140498,0.0,0.0,,
34,1604,68,0.128527103162099,0.0,0.0,,,,,
35,1638,70,0.18348302635597066,0.0,0.0,,,,,
36,1688,72,0.11502983936845947,0.0,0.0,,,,,
37,1738,74,0.14598273314836355,0.0,0.0,,,,,
38,1788,76,0.11878795749415683,0.0,0.0,,,,,
39,1838,78,0.12033400124453086,0.0,0.0,,,,,
40,1888,80,0.11519408632923539,0.5,0.5,,,,,
41,1938,82,0.11208739979590365,0.5,0.5,0.1143267815854051,0.0,0.0,,
42,1988,84,0.07675808806205169,1.0,1.0,,,,,
43,2038,86,0.07006848971019887,0.5,0.5,,,,,
44,2088,88,0.14476440241754365,0.0,0.0,,,,,
45,2138,90,0.07691920069104526,0.5,0.5,,,,,
46,2172,92,0.17095217919566497,0.0,0.0,,,,,
47,2206,94,0.15478944754708207,0.5,0.5,,,,,
48,2256,96,0.1098318834521342,0.0,0.0,,,,,
49,2306,98,0.10381384707857555,0.0,0.0,0.12884661067558228,0.5,0.5,,
50,2340,100,0.15854882648383864,0.0,0.0,,,,,
51,2390,102,0.10615997445043225,0.0,0.0,,,,,
52,2440,104,0.08259809610916514,0.0,0.0,,,,,
53,2474,106,0.22015067438592267,0.0,0.0,,,,,
54,2524,108,0.11855382282900488,0.5,0.5,,,,,
55,2574,110,0.1393398559984295,0.0,0.0,,,,,
56,2624,112,0.08100417446307497,0.5,0.5,,,,,
57,2658,114,0.13803457369376698,0.5,0.5,0.12198785183672044,1.0,1.0,,
58,2692,116,0.12724226532041938,1.0,1.0,,,,,
59,2742,118,0.10228466463342556,0.0,0.0,,,,,
60,2792,120,0.12944947571448814,0.0,0.0,,,,,
61,2842,122,0.12475561962296827,0.0,0.0,,,,,
62,2892,124,0.06712053514595027,1.0,1.0,,,,,
63,2942,126,0.09881736863340242,0.0,0.0,,,,,
64,2992,128,0.130930367209985,0.0,0.0,,,,,
65,3026,130,0.1029292215852547,0.5,0.5,0.09489196129169916,0.0,0.0,,
66,3076,132,0.052911081557164535,1.0,1.0,,,,,
67,3126,134,0.08881900860622409,0.5,0.5,,,,,
68,3176,136,0.07823695119072606,0.0,0.0,,,,,
69,3226,138,0.08691409281347053,0.5,0.5,,,,,
70,3276,140,0.10238269797548127,0.5,0.5,,,,,
71,3326,142,0.08551008129625794,0.0,0.0,,,,,
72,3376,144,0.14279418884553402,0.0,0.0,,,,,
73,3426,146,0.05300822032797442,1.0,1.0,0.06751667734199146,0.5,0.5,,
74,3460,148,0.11554007898521376,0.0,0.0,,,,,
75,3494,150,0.16637160877085988,0.0,0.0,,,,,
